Epoch,Train Loss,Test Loss
0,24.909893107414252,24.031651420593278
1,17.727637958526632,17.32914300441744
2,13.812787423133845,13.368787503242492
3,11.373534874916084,10.915574669837946
4,9.992200900316224,9.23744499564171
5,8.239608610868466,7.987650319337843
6,7.277912695407867,6.990161998271939
7,6.394617937803271,6.167576758861542
8,6.01074128985405,5.516053190231325
9,4.967586050033567,4.857041536569594
10,4.5527294963598255,4.31214837193489
11,4.055698665380477,3.8789657998084963
12,3.9664887708425525,3.6624265223741537
13,3.2691722851991654,3.222685180902482
14,3.0376707705855357,2.9917473053932184
15,2.753534666597844,2.8740305656194685
16,2.883273044228553,2.9681015479564676
17,2.480594538748265,2.3314389610290527
18,2.3972825154662143,2.257233475744724
19,2.2136514449119566,2.282727120816705
